batchSize,numWorkers,trainDataDir,testDataDir,dataDtype,trainDataSubset,trainSplit,validationSplit,experimentsFolder,torchSeed,numpySeed,pythonSeed,overfitTraining,modelType,pretrained,pretrained2D,C,modelInputCh,extraInputCh,mainInputTime,modelOutputCh,numBlocks,inputHeightWidth,windowSizeT,windowSizeH,windowSizeW,patchSizeT,patchSizeH,patchSizeW,epochs,trainLossFunction,trainingOptimizer,lr,lrScaleFactor,scheduler,schedulerPatience,gradientClipping,gradientClipValue,valLoss,epoch,folder,patchEmbedding_norm,encoder_layerDepths,encoder_layerNumHeads,encoder_mlpRatio,encoder_qkvBias,encoder_qkScale,encoder_drop,encoder_attnDrop,encoder_dropPath,encoder_norm,encoder_downsample,encoder_useCheckpoint,encoder_patchMerging_norm,bottleneck_depth,bottleneck_numHeads,bottleneck_norm,decoder_layerDepths,decoder_layerNumHeads,decoder_mlpRatio,decoder_qkvBias,decoder_qkScale,decoder_drop,decoder_attnDrop,decoder_dropPath,decoder_norm,decoder_downsample,decoder_useCheckpoint,decoder_patchExpansion_norm,trainLossFunctions,train_maskedL1,train_ssim,train_maskedSSIM,train_FFL,train_SSIM,encoder_normLayer,decoder_normLayer,train_maskedGradient
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,8.0,7.0,7.0,2.0,4.0,4.0,50,mse,adamw,0.0005,,,,,,0.0401473065217336,49,videoSwinUNetV2_08-07-2024_19-27-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,5.0,7.0,7.0,2.0,4.0,4.0,50,mse,adamw,0.0005,,,,,,0.03269130786259969,49,videoSwinUNetV2_08-07-2024_19-55-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,2.0,4.0,4.0,50,mse,adamw,0.0005,,,,,,0.02533300717671712,49,videoSwinUNetV2_08-07-2024_20-18-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,5.0,7.0,7.0,2.0,4.0,4.0,300,mse,adamw,0.002,,,,,,0.016712581117947895,235,videoSwinUNetV2_08-07-2024_20-45-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,8.0,7.0,7.0,2.0,4.0,4.0,300,mse,adamw,0.002,,,,,,0.01939769387245178,176,videoSwinUNetV2_08-07-2024_22-19-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,8.0,7.0,7.0,2.0,4.0,4.0,300,mse,adamw,0.002,,,,,,0.018453665574391685,277,videoSwinUNetV2_08-07-2024_23-53-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/EarthnetDataset/train,/home/nikoskot/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/experiments,,,,,videoSwinUNetV2,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,2.0,4.0,4.0,300,mse,adamw,0.002,,,,,,0.01684282471736272,96,videoSwinUNetV2_09-07-2024_20-41-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,channelUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,100,maskedL1,adam,0.002,,,,,,3.3569582272320986,73,ChannelUnet_13-07-2024_17-59-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,channelUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,2.0,4.0,4.0,100,maskedL1,adam,0.002,,,,,,0.0646800845861435,47,ChannelUnet_13-07-2024_13-46-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,videoSwinUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,100,l1,adam,0.0005,,,,,,1.0652259588241577,92,videoSwinUnet_15-07-2024_21-53-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
